"","log2foldChange","pValues","FDR","celltype","gene"
"BRCA1",-0.00512808164627487,1.70079422615857e-05,0.00092387188179462,"RG","BRCA1"
"RUNDC3A-AS1",0.0053503785422829,0.00168974918082355,0.0230941926567933,"RG","RUNDC3A-AS1"
"DBF4B",-0.00536146519017537,3.95403335614652e-06,0.000357810399694867,"RG","DBF4B"
"AC005180.1",-0.00798604800778512,0.000349660987208658,0.00774885958728661,"RG","AC005180.1"
"GJC1",-0.00499289224557691,6.39070555640658e-05,0.00239627772355468,"RG","GJC1"
"KIF18B",-0.00642983505136505,0.000974777816491385,0.0159372405241037,"RG","KIF18B"
"FMNL1",0.00512902855355764,0.00061489006199906,0.0116081175330138,"RG","FMNL1"
"MAPT",0.0145644774795443,8.27889985883873e-05,0.00287995091856715,"RG","MAPT"
"AC091133.31",-0.0134789130020219,1.63594845961651e-06,0.000203536435612324,"RG","AC091133.31"
"IGF2BP1",-0.011821661862797,4.44535106077178e-07,8.41303988237071e-05,"RG","IGF2BP1"
"NGFR",-0.0177636162205467,0.00364652161949859,0.0397961497365292,"RG","NGFR"
"EME1",-0.00428786741329895,2.26549957364449e-06,0.000245244906097046,"RG","EME1"
"NME1-NME21",-0.000811297559382637,0.00213519926183702,0.027461554809013,"RG","NME1-NME21"
"HLF1",0.0066004102553221,0.000463298041295094,0.00943663301093125,"RG","HLF1"
"AC015813.21",-0.000730325324767714,0.000129029713006684,0.00390744577418553,"RG","AC015813.21"
"DYNLL2",-0.00273445268354863,0.00320672180821637,0.0365843408534745,"RG","DYNLL2"
"PRR11",-0.00513794414301164,9.81018114017837e-05,0.00325323765311264,"RG","PRR11"
"AC099850.3",-0.00601579527340377,0.00052160050270048,0.010289142665579,"RG","AC099850.3"
"TUBD1",-0.00315809059644576,0.00252048020090892,0.0311032652315527,"RG","TUBD1"
"AC011921.1",-0.00455175012737152,0.000943336965644504,0.0156168225256081,"RG","AC011921.1"
"BRIP1",-0.00783047320443161,1.06335275060525e-06,0.00014493736898091,"RG","BRIP1"
"SCN4A1",-0.011935958778048,0.00262831109869548,0.031850602601326,"RG","SCN4A1"
"SNHG251",0.00184994563396282,0.00043619547038201,0.00906130127083143,"RG","SNHG251"
"AC004805.11",-0.00447319394904897,1.81076616359156e-07,4.87126277442189e-05,"RG","AC004805.11"
"KPNA2",-0.00314804013956498,0.00322884738772009,0.0367537557723483,"RG","KPNA2"
"ARSG",-0.00928958321370833,0.00494071950919288,0.0495330146570698,"RG","ARSG"
"LINC005111",0.00706250079283125,0.00159478533235029,0.0223831735642824,"RG","LINC005111"
"SSTR2",0.0131895769206157,0.000556804499955122,0.0107924086335458,"RG","SSTR2"
"SDK21",-0.0119632697365944,0.000320010930395384,0.00723430872200544,"RG","SDK21"
"RPL38",0.00298952624217694,0.00170753329633162,0.0232781207230479,"RG","RPL38"
"ITGB4",0.0108391300115023,0.00176151589040994,0.0238528758281098,"RG","ITGB4"
"TRIM47",0.00933379403886161,0.000210917115793225,0.00554464685019291,"RG","TRIM47"
"JMJD6",0.00427478616786657,1.87002992721657e-05,0.000989644362465662,"RG","JMJD6"
"RBFOX3",0.0112164805764711,2.74001944615387e-05,0.00126001862907036,"RG","RBFOX3"
"CBX2",-0.0037569701717681,0.00146787219109798,0.0213541644868475,"RG","CBX2"
"AC110285.63",-0.0142907875499391,6.42233205840548e-07,0.000102636496786854,"RG","AC110285.63"
"DLGAP1-AS2",-0.00639821681209098,0.00230211611612672,0.0292082977464501,"RG","DLGAP1-AS2"
"L3MBTL4",0.0111582675398828,0.000602576974779488,0.0114023387455049,"RG","L3MBTL4"
"LAMA11",-0.0154653289662812,0.000229094560258284,0.00583227952740345,"RG","LAMA11"
"PIEZO2",-0.00785497425241587,0.00038972592857954,0.00838742161760315,"RG","PIEZO2"
"ZNF519",-0.0034387575782105,0.00155986793587467,0.0221246294841415,"RG","ZNF519"
"GREB1L",-0.0192767182175723,0.00084529598042171,0.0144270317917041,"RG","GREB1L"
"CABLES1",-0.00763008443950208,0.00493538598932148,0.0495102953720559,"RG","CABLES1"
"TMEM241",-0.00174169694227312,0.00260850618650728,0.0317232721789858,"RG","TMEM241"
"AC090772.3",-0.00546955827209186,0.00285805923425662,0.0337468427945399,"RG","AC090772.3"
"ZNF521",-0.0115249133959365,9.59261254199745e-07,0.000134638573078592,"RG","ZNF521"
"SS18",-0.00192722899210621,0.000251762781203815,0.00624224739079998,"RG","SS18"
"CDH2",-0.00566886658774407,2.16423138571768e-05,0.00108620871543049,"RG","CDH2"
"DSC2",-0.0217225678559942,3.25154368896918e-05,0.00144981123435501,"RG","DSC2"
"TTR",0.0564120213572928,0.000109533872601354,0.0035079092017033,"RG","TTR"
"B4GALT6",-0.00388159458123256,0.000425547411521171,0.00892703755825508,"RG","B4GALT6"
"AC017100.1",-0.00564913133005771,0.000975326794371222,0.0159372405241037,"RG","AC017100.1"
"ZSCAN30",-0.00254256078380882,0.00304223513498727,0.0352510533480471,"RG","ZSCAN30"
"AC015961.1",0.00752342779350608,0.00248518307418462,0.0308478821783887,"RG","AC015961.1"
"CELF4",0.0110543264535708,0.000645682489950778,0.0120027991281631,"RG","CELF4"
