"","log2foldChange","pValues","FDR","celltype","gene"
"WWTR12",0.0269125042039686,0.00177949553806784,0.035472838686484,"End","WWTR12"
"P2RY124",-0.0713310381906199,0.00307628161154015,0.0473420990669864,"End","P2RY124"
"NDUFB55",-0.0220737164584897,0.000798787549373963,0.0220029661327555,"End","NDUFB55"
"DNAJC196",-0.0240387178830983,2.96983551551607e-05,0.00306193767899113,"End","DNAJC196"
"EHHADH6",-0.0464900313168135,7.54860856683786e-05,0.00536966070330291,"End","EHHADH6"
"SENP21",0.0293687545430021,0.00105537608980475,0.0262007500518708,"End","SENP21"
"SST6",-0.185881059279935,9.80958711968054e-08,0.000133753720376844,"End","SST6"
"TMEM44",0.0136374049415009,0.00199609620103848,0.03787577017765,"End","TMEM44"
"PCYT1A2",0.01289873136131,0.000388287192714195,0.0151699022139199,"End","PCYT1A2"
"UBXN7",0.0114183283102625,0.00301502872207182,0.0471271734277496,"End","UBXN7"
"RNF168",0.0185562604878147,0.001159039450902,0.0276768877636581,"End","RNF168"
"CEP191",0.0589451991786092,0.000354694244298785,0.0142662419498936,"End","CEP191"
"MXD41",0.0360178336971568,0.00144419891880092,0.0312590859504972,"End","MXD41"
"WFS11",0.0308156695649613,0.00163760641680826,0.033678376309473,"End","WFS11"
"TADA2B5",0.0224868330803032,0.000268878075822812,0.011864571404026,"End","TADA2B5"
"HS3ST14",0.0218949239848651,0.000540871606007706,0.0177216865113374,"End","HS3ST14"
"LAP35",-0.0489781775910387,0.000580250223704726,0.0184422186485173,"End","LAP35"
"CCDC1495",0.0281952362837758,4.67063096892771e-05,0.00388317397934935,"End","CCDC1495"
"RBPJ2",0.0253409704187684,0.00273764781857241,0.0449191672758542,"End","RBPJ2"
"TBC1D11",0.0183317381628525,0.000227351314230446,0.0108559496272379,"End","TBC1D11"
"KLHL51",0.032714950509602,0.000614109052820484,0.0190443959367675,"End","KLHL51"
"LIMCH1",0.0231526344214519,0.00316107987352324,0.0481890546692607,"End","LIMCH1"
"OCIAD14",-0.0295995198709909,0.00173531290604495,0.0347955756969455,"End","OCIAD14"
"HOPX6",-0.100423666734042,3.74443598314783e-06,0.000963309143966428,"End","HOPX6"
"COX185",-0.0491090044139498,0.000194042976849057,0.00955153786764223,"End","COX185"
"BMPR1B4",-0.037351695120575,0.00309427606407608,0.04751177267306,"End","BMPR1B4"
"BANK1",0.0563710258640013,0.00180502986026625,0.0357726484661779,"End","BANK1"
"NPNT6",0.152604695484869,4.07841980505766e-09,1.39023135104903e-05,"End","NPNT6"
"USP532",0.0172444295385485,0.00284344789271983,0.0456659741074616,"End","USP532"
"PLK45",-0.0563396429373721,0.000584547091815248,0.0185355804579091,"End","PLK45"
"INPP4B",0.0347995422703002,0.00255185166106509,0.0437693097853554,"End","INPP4B"
"ARHGAP106",0.0501715618866703,0.000338806475897353,0.0138312164636539,"End","ARHGAP106"
"SFRP22",0.24844995959979,0.0004562916479019,0.0164961693061466,"End","SFRP22"
"DCHS26",-0.0788279782517936,3.45751180450389e-08,5.91300890061784e-05,"End","DCHS26"
"LRAT6",-0.0399674083392814,0.00314476537957932,0.0480166583992878,"End","LRAT6"
"ETFDH5",-0.0256470491814369,0.000708252955018299,0.0208290611177162,"End","ETFDH5"
"FNIP2",0.018651206081012,0.0020767549337952,0.0385259231595886,"End","FNIP2"
"NPY1R1",0.0556871880798968,0.00272691080960861,0.044880328413589,"End","NPY1R1"
"FAM218A5",-0.0599123829142145,0.000330607710962663,0.0136188402990209,"End","FAM218A5"
"KLHL2",0.026423086872601,0.00284159255889087,0.0456659741074616,"End","KLHL2"
"SAP30",0.0238673207214681,0.00303269620181271,0.0471271734277496,"End","SAP30"
"SCRG12",-0.0485857275418904,0.00189387458474793,0.0366803692656789,"End","SCRG12"
"ING22",0.0442174402972619,0.00127915562503385,0.0293539595912174,"End","ING22"
"STOX2",0.0141458663117806,0.00105986150280311,0.0262272442662802,"End","STOX2"
"LRP2BP5",-0.0344049062330687,0.00189004074655454,0.0366803692656789,"End","LRP2BP5"
"CCDC1272",0.0299844592906098,0.00123444187836512,0.0287541935172396,"End","CCDC1272"
"ZDHHC11",0.0384660836250638,0.000261665487770413,0.0117140204521511,"End","ZDHHC11"
"ADAMTS166",0.0713388481847104,4.21027775650441e-06,0.00102512745017746,"End","ADAMTS166"
"CTNND21",0.0307561958283591,0.000787906001785273,0.0219303822842801,"End","CTNND21"
"CDH62",0.0448295298414116,0.000753347429659,0.0215952470038133,"End","CDH62"
"GOLPH3",0.0139325860975177,0.00271977419253185,0.044880328413589,"End","GOLPH3"
"MTMR12",0.0208454040107497,0.00198271368032857,0.0377047434188005,"End","MTMR12"
"ZFR",0.0222363782446404,0.00153652137421171,0.0324756443314734,"End","ZFR"
"DNAJC216",0.034233692601422,3.72275237854723e-05,0.0034530427674484,"End","DNAJC216"
"RANBP3L3",0.0928125458114755,0.000319882732960443,0.013440932443955,"End","RANBP3L3"
"NIM1K6",0.0480259665680149,2.10465359368456e-06,0.000722066674911493,"End","NIM1K6"
"HMGCS13",-0.0462339771825859,0.00270023639690142,0.044880328413589,"End","HMGCS13"
"FGF105",0.0796278459527722,0.00022932081898865,0.0108947364700705,"End","FGF105"
"PLPP12",0.0302763281449359,0.000882738204235334,0.02341660586527,"End","PLPP12"
"MCCC25",-0.0644314135942294,0.000479052615521293,0.0166454368058105,"End","MCCC25"
"FOXD11",0.0681046694163676,0.00129168892845621,0.0294518035777599,"End","FOXD11"
"GCNT41",-0.0282747971718979,0.00234010899114839,0.0413844177617488,"End","GCNT41"
"F2R2",-0.03873113052641,0.00190799318131283,0.036849131766573,"End","F2R2"
"DHFR",0.0479272690502199,0.00306831475023918,0.0473263253614381,"End","DHFR"
"TMEM161B1",-0.0293481830707067,0.00247067966005005,0.0426967264445912,"End","TMEM161B1"
"ALDH7A14",-0.0260732193678503,0.00218360142680444,0.0395922944873385,"End","ALDH7A14"
"LEAP23",0.0320294100697018,0.00069903117052544,0.0207201956741617,"End","LEAP23"
"JADE25",0.0529261252178319,0.000327079455597351,0.0135143284153633,"End","JADE25"
"SLC25A485",0.164781525852189,5.47463039208861e-05,0.00436529739158644,"End","SLC25A485"
"FAM13B6",0.0415264320296513,7.86880206261461e-06,0.00152921271200411,"End","FAM13B6"
"PROB15",0.0498879023498153,0.000199176857315814,0.00976898003417668,"End","PROB15"
"PSD21",0.0751250602739484,0.000687911652236257,0.0205244537817098,"End","PSD21"
"NRG24",0.0275134399591561,0.000439474299510705,0.0161515689321522,"End","NRG24"
"PURA2",0.027558294120352,0.00016549399605944,0.00875428443598679,"End","PURA2"
"SLC4A93",0.0492357603522369,0.000468419046625273,0.016632535678999,"End","SLC4A93"
"DIAPH1",0.0187781300404186,0.000359320880998233,0.0144098241541497,"End","DIAPH1"
"JAKMIP23",0.0500086773021655,0.000673505218926617,0.0203169107523549,"End","JAKMIP23"
"PCYOX1L3",-0.121442862946375,0.00153863338746841,0.0324756443314734,"End","PCYOX1L3"
"SMIM33",0.0297160949540061,0.000751711487187577,0.0215952470038133,"End","SMIM33"
"TNIP11",0.0174030929487881,0.00277916510593566,0.0451118050231342,"End","TNIP11"
"CCDC696",0.0643570733025491,3.02053589422644e-06,0.000843131902962774,"End","CCDC696"
"GLRA16",0.0493204465533676,2.25264667736077e-06,0.000722066674911493,"End","GLRA16"
"SAP30L6",0.0373870732188717,7.79567855648364e-06,0.00152921271200411,"End","SAP30L6"
"LARP13",0.0158691562310489,0.000177672357484412,0.00910737817405999,"End","LARP13"
"CCNJL",0.0236843837994631,0.00159667832700551,0.0331592407586882,"End","CCNJL"
"UBTD23",0.0468477680032073,0.00102301585951513,0.0256884369143439,"End","UBTD23"
"SH3PXD2B4",0.050056209468246,4.23827895703065e-05,0.00366068067768422,"End","SH3PXD2B4"
"CREBRF",0.0224092713030801,0.00220556622712764,0.0398055017838638,"End","CREBRF"
"DRD13",0.0512850533813163,0.000227708221004036,0.0108559496272379,"End","DRD13"
"ADAMTS26",0.115626283075747,2.97264121713507e-09,1.35106543318789e-05,"End","ADAMTS26"
"RUFY12",0.0219719385669483,0.000120813488757632,0.00706992240004425,"End","RUFY12"
"RNF1306",0.0276361409329766,1.04804259276094e-05,0.0017011977086066,"End","RNF1306"
"TUBB2B6",-0.128485497572726,1.90439003882551e-05,0.00248632251686262,"End","TUBB2B6"
"NRN12",-0.0491760715703871,0.00123789597320276,0.0287541935172396,"End","NRN12"
"TMEM14B6",-0.0279422571246619,8.05625116708661e-05,0.00557598906919929,"End","TMEM14B6"
"MYLIP5",0.0230939854879404,0.000117992136208126,0.00693458093619741,"End","MYLIP5"
"KIF13A3",0.0242348843280249,8.09212774721029e-06,0.00152921271200411,"End","KIF13A3"
"DEK6",0.0265264594239252,0.00011116265942067,0.00673194473164397,"End","DEK6"
"ALDH5A16",-0.0625283525181457,9.63573263320133e-05,0.00608255622470834,"End","ALDH5A16"
"SCGN",0.0882478161795529,0.00193260771955926,0.0371142341636487,"End","SCGN"
"GNL11",0.0283143818243028,0.00163201973626615,0.0336141829365392,"End","GNL11"
